No.,Company Name,Ticker
444,MASTER-PACK GROUP BERHAD [S],No result
445,MATRIX CONCEPTS HOLDINGS BERHAD [S],5236.KL
446,MAXIS BERHAD [S],6012.KL
447,MB WORLD GROUP BERHAD [S],7189.KL
448,MBM RESOURCES BHD [S],MBMR.KL
449,MCE HOLDINGS BERHAD [S],7004.KL?P=7004.KL
450,MCT BERHAD [S],5182.KL
451,MEDIA CHINESE INTERNATIONAL LIMITED [S],0685.HK
452,MEDIA PRIMA BERHAD,4502.KL
453,MEGA FIRST CORPORATION BERHAD [S],3069.KL
454,MELATI EHSAN HOLDINGS BERHAD [S],5129.KL
455,MELEWAR INDUSTRIAL GROUP BERHAD [S],3778.KL
456,MENANG CORPORATION (M) BERHAD [S],1694.kl
457,MENTIGA CORPORATION BERHAD [S],5223.KL
458,MERCURY INDUSTRIES BERHAD [S],8192.KL
459,MERIDIAN BERHAD [S],5040.KL
460,MESB BERHAD [S],MESB.KL
461,MESINIAGA BERHAD [S],No result
462,METROD HOLDINGS BERHAD,6149.KL
463,METRONIC GLOBAL BERHAD [S],No result
464,MGB BERHAD [S],7595.KL
465,MHC PLANTATIONS BHD [S],No result
466,MI TECHNOVATION BERHAD [S],5286.kl
467,MIECO CHIPBOARD BERHAD [S],5001.KL
468,MILUX CORPORATION BERHAD [S],No result
469,MINDA GLOBAL BERHAD [S],5166.kl
470,MINETECH RESOURCES BERHAD [S],7219.KL
471,MINHO (M) BERHAD [S],5576.KL
472,MINTYE BERHAD [S],MINT.KL
473,MISC BERHAD [S],MISC.KL
474,MITRAJAYA HOLDINGS BERHAD [S],9571.KL
475,MK LAND HOLDINGS BERHAD [S],8893.KL
476,MKH BERHAD [S],6114.KL
477,MMC CORPORATION BERHAD [S],2194.KL
478,MMS VENTURES BERHAD [S],3255.KL
479,MNRB HOLDINGS BERHAD,MNRB.KL
480,MPHB Capital Berhad,No result
481,QUILL CAPITA TRUST,No result
482,MSCM HOLDINGS BERHAD [S],1023.KL
483,MSM MALAYSIA HOLDINGS BERHAD [S],5202.KL
484,MTD ACPI ENGINEERING BERHAD [S],5924.KL
485,MUAR BAN LEE GROUP BERHAD [S],5152.kl
486,MUDA HOLDINGS BERHAD [S],MUDA.KL
487,MUDAJAYA GROUP BERHAD,5085.kl
488,MUHIBBAH ENGINEERING (M) BHD [S],5703.KL
489,MUI PROPERTIES BERHAD [S],3913.kl
490,MULPHA INTERNATIONAL BERHAD,3905.KL
491,MULTI-USAGE HOLDINGS BERHAD [S],1023.KL
492,MY E.G. SERVICES BERHAD [S],0138.KL
493,MYCRON STEEL BERHAD [S],5087.KL
494,MYNEWS HOLDINGS BERHAD,5275.kl
495,NAIM HOLDINGS BERHAD [S],5073.KL
496,NATIONWIDE EXPRESS HOLDINGS BERHAD [S],No result
497,NEGRI SEMBILAN OIL PALMS BERHAD,2038.KL
498,NESTLE (MALAYSIA) BERHAD [S],4707.KL
499,NEW HOONG FATT HOLDINGS BERHAD [S],No result
500,NEXTGREEN GLOBAL BERHAD [S],7241.KL
501,NI HSIN RESOURCES BERHAD [S],No result
502,NICHE CAPITAL EMAS HOLDINGS BERHAD [S],7139.KL
503,NOTION VTEC BERHAD [S],No result
504,NPC RESOURCES BERHAD [S],No result
505,NTPM HOLDINGS BERHAD [S],5066.KL
506,NWP HOLDINGS BERHAD [S],5025.KL
507,NYLEX (MALAYSIA) BERHAD [S],4944.KL
508,OCB BERHAD [S],5673.kl
509,OCEANCASH PACIFIC BERHAD [S],0049.KL
510,OCK GROUP BERHAD,0172.KL
511,OCR GROUP BERHAD [S],7071.kl
